id,text,E,S,G,non_ESG
10854,Gift cards are sold to customers in our stores and we issue gift cards for merchandise returns in our stores.,0,0,1,0
10855,"Building on the strong foundation of our existing safety-fi rst culture, we are developing the leadership skills of our supervisors and plant managers, the people who most directly affect our production employees.",0,0,0,1
10856,"In December [YEAR]-12, Income Taxes (Topic 740), which affects general principles within Topic 740, and are meant to simplify and reduce the cost of accounting for income taxes.",0,0,1,0
10857,In female representatives from different Group companies to discuss tackling the challenges of diversity and inclusion.,1,1,0,0
10858,"The gender pay gap data reflects the fact that women hold fewer senior positions at Columbia Threadneedle in the U.K., including in higherpaying specialist areas such as investments and front-line sales.",0,1,0,0
10859,"As discussed in more detail for market risk activities below, we employ separate management level oversight specific to market risk.",0,0,0,1
10860,GPercentage of security personnel who have received formal training in the organization's human rights policies or specific procedures and their application to security.,0,1,0,0
10861,Foreign currency translation losses amounted to forty-two million dollars primarily due to the depreciation of the Euro against the US dollar.,0,0,1,0
10862,"They are responsible for executing the processes and maintaining daily operations, ensuring that the control activities implemented are carried out, evaluating them or supervising outsourced service activities, when they participate in relevant processes in the preparation of financial information, with the established frequency and, annually, carrying out the ICFR certification (direct and/or supervised control activities).",0,0,0,1
10863,"Any future significant compromise or breach of the Company’s data security, whether external or internal, or misuse of customer, employee, dealer, supplier or Company data could result in disruption to the Company’s operations, significant costs, lost sales, lawsuits with third-parties, fines and penalties, government enforcement actions, unauthorized release of confidential or otherwise protected information, corruption of data, negative impact on the value of investment in research, development and engineering, remediation costs, and/or damage to the Company’s reputation.",0,1,1,0
10864,This program is essenti al to our ability to put the right people in the right jobs at the right ti me.,0,0,1,0
10865,"・Establish a Group Compliance Policy and Group Compliance Guideline ・Introduce education and training on compliance Group-wide: ・Compliance-related education and training ratio (%) ・[COMPANY] Code of Conduct, create Group-wide policies and guidelines on fair business.",0,1,1,0
10866,"Grievance related to the corporate values ‘Trustworthiness’ and ‘Accountability’, filed by a private individual, alleging a possible improper claiming of expenses by a member of the Company.",0,0,0,1
10867,"Third-party remote video auditing Systems oversight by focused, comprehensive, modern auditing techniques can be an important element of accountability.",0,1,1,0
10868,"In the were members of the Board of Management of SGL Carbon SE, each appointed by the Supervisory Board for a term of five years effective [DATE], [YEAR], and [DATE], [YEAR], respectively.",0,0,0,1
10869,Genexine has the right to terminate the agreement if we fail to use commercially reasonable efforts to obtain regulatory approvals or other registrations necessary for commercializing the licensed product in the agreed period due to our fault or if we cease to pursue clinical development or product registration or to conduct licensed activities on a reasonable scale as agreed (“Development and Commercialization Termination Events”).,0,0,1,0
10870,State Street’s Standard of Conduct (SOC) includes an Ethical Decision-Making Framework that guides employees’ decision-making processes when there is no prescriptive rule for the situation at hand.,0,0,0,1
10871,"of our company, and we require our suppliers and the partners who conduct business with Sands to adhere to the same ethics, values, governance practices and responsible business guidelines that we do internally.",0,0,0,1
10872,"As part of our [YEAR] goals, we have developed a Dollar Tree In-Store Energy Eficiency Standard for all new stores, relocations, or expansion projects.",0,0,0,1
10873,"The composition of the committee is intended to reflect the interests of all shareholders, and the majority of the members are independent of the Board and other executive management.",0,0,1,0
10874,"The Committee meets quarterly, and its members include Textron’s Chairman and Chief Executive Officer, Executive Vice President and Chief Financial Officer, and Executive Vice President, Human Resources.",0,1,0,0
10875,The formulation of the NFI reporting as well as its content is the responsibility of the Administrators of the company.,0,0,1,0
10876,"Among other activities, this year with assistance of the Ministry of Health, we carried out the vaccination campaign against flu as part of our health and safety programs, applicable in the Distribution Center.",0,1,0,0
10877,"The regulations applicable to Cboe Japan cover a wide array of areas, including, but not limited to, marketplace operations (which include corporate governance, fair access, systems compliance and integrity, and conflict management requirements), trading rules, electronic trading risk management, and financial viability.",0,0,0,1
10878,This includes the issue of shares following the exercise of options previously granted as compensation.,0,0,1,0
10879,"Our Board of Directors, management team and talented workforce share this vision.",0,1,1,0
10880,"Patent costs are amortized by using the straight-line method over the legal life, or if shorter, the useful life of the patent, which has been estimated to be 10 years.",0,0,0,1
10881,"Our employment policies are designed to provide equal opportunities irrespective of age, disability, ethnicity, gender, gender reassignment, marital and civil partnership status, nationality, pregnancy, maternity and paternity, race, religion and belief, and sexual orientation, as detailed on our website at www.kcom.com/careers/.",0,1,0,0
10882,"S Non-compliance cases are normally reported to line management and/or supporting staff functions including Group Compliance, Group Internal Audit and Investigations, Human Resources, Legal, HSE, Finance and Accounting.",0,1,1,0
10883,The independent auditor resigned citing management's refusal to correct material misstatements in the quarterly financial statements.,0,1,0,0
10884,"In addition, the complaints contain allegations of breach of fiduciary duty, aiding and abetting such breach of fiduciary duty, and fraudulent and negligent misrepresentation.",0,0,1,0
10885,"significant resources, including the cost of salaries, technology and control functions, to comply with various governmentimposed requirements to collect and remit taxes on their behalf.",0,0,1,0
10886,Nominees for election as equity directors are nominated for election by our Board upon the recommendation of the Nominating and Governance Committee of our Board.,0,0,0,1
10887,trained in human rights policies or procedures [PCT] of security personnel are trained in the organization’s policies or procedures concerning aspects of human rights that are relevant to operations.,0,1,0,0
10888,Mates in Mind Some excellent work has been done by the construction community on the growing issue of depression and indeed suicide in young men aged between 18 and 35.,0,1,1,0
10889,"Communicate this Policy and our commitment to human rights to all stakeholders, including employees, contractors and suppliers.",0,1,1,0
10890,"Stock-based compensation for restricted stock of [AMOUNT] and [AMOUNT] net of related tax effect, was recognized in fiscal years [YEAR] and [YEAR], respectively.",0,0,1,0
10891,[COMPANY] follows consistent underwriting standards outlined in its loan policy for consumer and other homogeneous loans but does not specifically assign a risk rating when these loans are originated.,0,0,0,1
10892,"Industrial assets to complete gap analyses against the Environment and Closure Planning Standards, and initiate action plans to address any identified gaps.",1,1,0,0
10893,The primary challenge for promoting biodiversity is to reduce the burning of fossil fuels and the associated reduction of brown coal mining and emissions.,1,0,0,0
10894,The Directors are responsible for the maintenance and integrity of the Company’s website.,0,0,0,1
10895,"Prolonged drought conditions in the geographic regions in which we do business could lead to restrictions on the use of water, which could adversely affect our ability to produce and distribute products.",0,0,0,1
10896,www.baloise.com/rules-regulations Information on the Board of Directors’ role in corporate social and environmental responsibility can be found on page in the Company’s Annual Review.,0,0,0,1
10897,"The Suffolk Superior Court Department of the Trial Court of the Commonwealth of Massachusetts, without objection, approved a settlement of the claim in which we agreed to take, or to continue to take, specified steps to improve our ongoing governance and compliance policies, and to pay a fee to plaintiff's counsel.",0,0,0,1
10898,This was due to a notable increase in the data traffic over the last year which did not lead to a corresponding increase in the electricity consumption thanks to the efficiency of the network.,1,0,1,0
10899,"Nominating and Corporate Governance Committee The nominating and corporate governance committee is responsible for assisting our board of directors in discharging the board of directors’ responsibilities regarding the identification of qualified candidates to become board members, the selection of nominees for election as directors at our annual meetings of stockholders (or special meetings of stockholders at which directors are to be elected), and the selection of candidates to fill any vacancies on our board of directors and any committees thereof.",0,0,0,1
10900,"This report contains Standard Disclosures from the Global Reporting Initiative (GRI) Sustainability Reporting Standards, which can be found in our GRI Content Index <pg.52>.",0,0,0,1
10901,The Watersound Fountains Independent Living JV is unconsolidated and is accounted for under the equity method of accounting.,0,0,0,1
10902,"We are also a co-founder of the Technology for Wellbeing Roundtable, which we describe in the Telstra Foundation section of this report.",0,1,0,0
10903,These transactions are the responsibility of a dedicated Global Banking portfolio management team.,0,0,1,0
10904,"This study showed that in the U.S., women on average earned slightly more than men for comparable work in [YEAR].",0,1,0,0
10905,The previously mentioned Risk Oversight Committee was formed by our Board of Directors to support its supervision of the company’s enterprise risk management framework.,0,0,0,1
10906,"IPG expects our suppliers to embrace the letter and spirit of our commitment to sustainability, including environmental protection and employment practices that promote diversity, equal opportunity and a safe and healthy work environment, as outlined in IPG’s Code of Conduct, Human Rights Policy and Environmental Sustainability Policy.",0,0,0,1
10907,"In addition, the Corporate Governance and Nominating Committee is responsible for overseeing the Corporation’s ESG policies.",0,1,1,0
10908,We have developed a new Environmental and Sustainability design manual which mandates a high level of environmental compliance.,0,0,0,1
10909,in the manufacturing of our products prioritize the health and safety of the people working in our supply chain.,0,1,0,0
10910,"safety and product quality, while maintaining consistent production control.",0,1,1,0
10911,"Annual Report The Third Equality Plan is adapted to the requirements of R.D 901/[YEAR] of 13 October regulating equality plans and their registration, and R.D 902/[YEAR] of 13 October on equal pay between men and women.",0,1,0,0
10912,"the reliability and integrity of financial and operational information, i.e. whether activities are properly, accurately and completely recorded, as well as the quality of underlying data and models; and vii.",0,0,0,1
10913,"• For products and services where the SSP is directly observable, we evaluated the completeness and accuracy of the data used by management in determining whether the range of observable data points provided objective evidence of SSP.",0,0,1,0
10914,and reorganized internal data privacy organi zations around the new executive-level body to ensure systematic response to data privacy risks.,0,1,1,0
10915,"At the Company’s discretion, the vesting of any unvested stock, restricted stock units or other deferred compensation and the payment of any such amounts may be accelerated.",0,0,1,0
10916,"This involves projects related to central nervous system, eye care, medical aesthetics and dermatology, gastroenterology, women’s health, urology and anti-infective therapeutic categories.",0,1,0,0
10917,Our international operations accounted for approximately [PCT] of total revenue for fiscal [YEAR].,0,0,1,0
10918,"and reduction of the site’s main risks, compliance with the Group safety standards, deployment of shop floor safety leadership practices and resolution of issues highlighted during Group safety audits.",0,1,1,0
10919,Financial Statements Consolidated Income Statement 71 Consolidated Statement of Other Comprehensive Income 71 Consolidated Statement of Financial Position 72 Consolidated Statement of Cash Flows 73 Consolidated Statement of Changes in Equity 74 Notes to the Consolidated Financial Statements 75 1. Reporting entity 75 2. Basis of preparation 75 3.,0,0,0,1
10920,"GRI baseline 2Health & Safety metrics are based on operational entities as defined for incident tracking 3NAICS Code 54 Professional, Scientific, and Technical Services, BLS Data [YEAR] Health & Safety2 Health and Safety (H&S) has always been a fundamental value at Tetra Tech, and we report on two standard metrics: Lost Workday Incident Rate (LWDIR) and Total Recordable Incident Rate (TRIR).",0,0,0,1
10921,Reporting scope VEON’s Sustainability Report covers the calendar year.,0,0,0,1
10922,"Once the unpermitted airspace is included, our policy provides that airspace may continue to be included in remaining permitted and expansion airspace even if certain of these criteria are no longer met as long as we continue to believe we will ultimately obtain the permit, based on the facts and circumstances of a specific landfill.",0,0,1,0
10923,"technical management services, including arranging insurance and handling and settling all insurance, salvage and other claims.",0,0,1,0
10924,"With “Oriflame Culture” as the overall theme, this resulted in two sessions with nearly employees, all with very positive feedback.",0,0,1,0
10925,"Our stock price may be volatile or may decline, due to various reasons, including variations between actual results and investor expectations, industry and regulatory changes, introduction of new services by our competitors, developments with respect to IP rights, geopolitical events such as war, threat of war or terrorist actions, and global health pandemics, among others.",0,1,0,0
10926,"In our annual CR reports, we usually disclose the gender pay gap reporting figures we are required by the UK Government to publish which cover all colleagues that are employed across PFG.",0,0,0,1
10927,This model includes ensure transparency and a sense of ownership in internal and external relationships.,0,0,0,1
10928,"Factors that contribute to price fluctuations include instability in oil-producing regions, worldwide economic conditions, weather conditions, trade barriers, political instability, public health concerns, such as COVID-19, the supply of domestic and foreign oil, natural gas and natural gas liquids, consumer demand, the price and availability of alternative fuels, the proximity to, and capacity of, transportation facilities and the effect of worldwide energy conservation measures.",1,1,0,0
10929,"This new generation will need to face the demands of globalization with a creative, competitive and enterprising spirit.",0,0,1,0
10930,"Over the coming years, we will further shorten lead times and reduce the complexity of our collections.",0,0,1,0
10931,"the respective proportions of men and women on the board, in senior executive positions and across the whole organisation (including how the entity has defined “senior executive” for these purposes); or 2.",0,1,0,0
10932,We comply with all applicable occupational health and safety regulations and are certified to Occupational Health and Safety Quality Management Standard ISO 45001:[YEAR].,0,0,0,1
10933,"In accordance with the Tarkett Code of Ethics, we are also  committed to respecting and promoting fundamental social  rights, the ten principles of the UN Global Compact, and the  principles of the Declaration of Human Rights to our various  stakeholders.",0,1,1,0
10934,Cushman & Wakefield’s Americas Women’s Integrated Network (WIN) was underway; APAC offered Celebrating Women in Property and other programs; and EMEA created a challenge to recognize conscious and unconscious bias.,0,1,0,0
10935,"Brand sales represents management’s estimate of the end retail sales value to the consumer including its own retail channels and those of its wholesale trustees, joint venture partners, territorial licences (franchisees) and product licensing sales.",0,0,0,1
10936,Festival The Corporate Communications Department serves as the intermediary between the Company and the mass media.,0,0,1,0
10937,"The ESG Management Committee, establishing the Group’s ESG strategies and policies and receiving reports on progress related to ESG issues, is the top decision-making body for the overall ESG management of the Group.",0,1,1,0
10938,"An optionee exercising an NSO will, at that time, realize taxable compensation equal to (i) the per-share fair market value on the exercise date minus the exercise price at the time of grant multiplied by (ii) the number of shares with respect to which the stock option is being exercised.",0,1,1,0
10939,We also work with our health care partners and clients to help manage the cost of oncology care while ensuring access to vital therapies for patients.,0,1,0,0
10940,"In terms of environmental safety and health deficiencies, emergency response facilities, and hazardous substance management are the main areas of deficiency.",0,0,0,1
10941,"Our second amended and restated certificate of incorporation authorizes us to issue value [AMOUNT]1 per share, and 10,000,000 shares of preferred stock, par value [AMOUNT]1 per share.",0,0,0,1
10942,The Sustainable Development Goals (SDGs) are a global framework for progress toward a more sustainable future.,0,0,0,1
10943,checks are undertaken for the consultants and contractors we engage and regular safety tours of our assets are undertaken by the property management team.,0,0,0,1
10944,"By advocating on policy issues around the world, providing input to governments working to solve technical and regulatory hurdles, leading industry organizations and participating in global consultations, we are working to ensure medicines are accessible and more affordable.",0,0,0,1
10945,This report has been guided by both the Sustainability Accounting Standards Board (SASB) framework and the Global Reporting Initiative (GRI) standards.,0,0,0,1
10946,"The sourcing and procurement organization drives value by leveraging Prudential’s buying power to optimize quality, service levels and competitive pricing from our vendors.",0,0,1,0
10947,"\ overheating of market causing significant increase in demand or competition for people, specifically in certain sectors and regions; \ overbidding or ineffective workload and location scheduling; \ lack of visibility of long-term pipeline or perceived career progression resulting in existing workforce leaving the Group or sector; \ inability to recruit and retain strong performers; \ failure to maintain a culture of pride and advocacy across the workforce; \ ineffective and/or lack of adequate investment and decision making in the development of existing skills and capabilities; \ lack of a diverse workforce; \ issues throughout labour supply chain including UK’s exit from the EU and onerous immigration controls; \ ‘post-pandemic’ recovery driving increase in attrition and people movement; and/or \ pressure from wage inflation and increase in competitive offers from other infrastructure opportunities.",0,1,1,0
10948,The FDA requested a human factors validation study with the revised labeling to demonstrate that the intended users can prepare and administer the oral suspension safely and effectively.,0,1,0,0
10949,"We engage Lucideon CICS to independently verify Walmart’s reported scope 2 emissions as reported to CDP annually, pursuant to ISO 140643 (the international standard for verification of Greenhouse Gas inventories).",0,0,0,1
10950,"CHas “Target Zero” for the aim of zero adverse incidents, injuries or environmental impacts, is based on the American National Standard for Occupational Health and Safety Management System.",0,0,0,1
10951,There will be further contacts with the authorities on this issue in Stocka and Håstaholmen.,0,0,1,0
10952,"With some exceptions, the BHCA also prohibits a bank holding company from acquiring or retaining direct or indirect ownership or control of more than indirectly in activities other than those of banking, managing or controlling banks, or providing services for its subsidiaries.",0,0,0,1
10953,"Currently, Kempinski- managed properties track work-related ill-health, injuries or fatalities.",0,1,0,0
10954,In FYfocuses on creating pathways to potential corporate and other economic opportunities for Native and Indigenous community members.,0,1,1,0
10955,"In some instances, CooperSurgical offers all the items needed for a complete procedure.",0,0,1,0
10956,"► avoiding fraud and corruption; ► complying with fair competition, anti-trust and pricing requirements; ► awareness and compliance with corporate and securities laws; and ► engaging in fair employment practices.",0,1,1,0
10957,Potential for employee impact where governance issues affect health and well-being.,0,1,1,0
10958,We are benchmarking audit performance between the sites and measure it up against food safety KPIs.,0,0,0,1
10959,• Identifying the United Nations Sustainable Development Goals that Qube can most impact and integrating them into our sustainability reporting.,0,0,0,1
10960,"Each year, Intel compares the company’s health and safety performance with established bench marks.",0,1,0,0
10961,"▸ For many years PT-FI has worked closely with the local Mimika government in Papua to support the provision of health services in the region through capacity building, construction of clinics, and malaria control programs.",0,1,1,0
10962,Such measures are developed in line with the state policy in this field and LUKOIL's development strategy.,0,0,1,0
10963,The system also creates obligations on portfolio companies to ensure regular reporting to DWS Infrastructure and compliance with all of the applicable regulations regarding ESG issues.,0,1,1,0
10964,"Actual results could differ materially due to a variety of factors, including scientific or technological developments or changes, our evolving environmental, social and governance strategies, evolving government regulations, inaccurate or unattainable assumptions we make, and other changes in circumstances.",0,0,0,1
10965,"We face increasing competition from a growing variety of podcast providers that seek to differentiate their service by content offering and product features, and they may be more successful than us in predicting listener preferences, providing popular content, and innovating new features.",0,0,1,0
10966,The markets for all of our products are highly competitive.,0,0,1,0
10967,"Environmental, Social & Governance Methodology The Cheesecake Factory’s Corporate Social Responsibility Report covers the reporting period of fiscal year [YEAR], unless otherwise specified.",0,0,0,1
10968,The company achieved zero waste to landfill certification at all twelve manufacturing sites through comprehensive recycling and composting programs.,0,1,0,0
10969,"Our four women, one Latino, and one person of color.",0,1,0,0
10970,"Although there is currently no official sustainability-related regulation for UK investment trusts, the Investment Management team aspires to follow the same rigorous process required under Article Finance Disclosure Regulation).",0,0,0,1
10971,"In addition, the time has also been used to maintain the cruise vessels on board so that they appear even more beautiful after the pandemic. Security, health & safety TUI AG’s Group Security, Health & Safety (Group SHS) team operates and develops the holistic safety concept for customers and employees, the Company’s reputation and its assets.",0,1,0,0
10972,"[COMPANY]'s funding policy is to make contributions in accordance with the laws and customs of the various countries in which the Company operates, as well as to make discretionary voluntary contributions from time to time.",0,0,1,0
10973,We are incorporated in the Cayman Islands and thus our corporate governance practices are also governed by applicable Cayman Islands law.,0,0,0,1
10974,It makes me proud to be a part of our orange family.,0,1,0,0
10975,"LOCAL COMMUNITIES local community engagement, impact assessments, and development programs See Performance section p. 37, Sustainability Content See Strategy section p. 24, Sustainability Content FEMSA’s relationship with the community are managed at the level of each country, in order to adapt to local circumstances.",0,1,0,0
10976,"In terms of gender balance and pursuant to Dutch law, executive boards of large Dutch public companies, such as the Company, are deemed to have a balanced composition if they consist of at least male members.",0,1,0,0
10977,"The Board has approved formal written principles for overall risk management, as well as written policies covering specific areas, such as foreign exchange risk, interest rate risk, credit risk, use of derivative and non-derivative financial instruments, and investing excess liquidity.",0,0,0,1
10978,"The Corporate Culture and Responsibility Committee’s function also encompasses the monitoring of the current state and implementation of the programs and initiatives within the Group pertaining to corporate culture and corporate responsibility, including sustainability.",0,0,0,1
10979,The Virginia Consumer Data Protection Act is similar to the CCPA with respect to its requirements and provides for civil penalties; however there is no private right of action.,0,1,1,0
10980,"Level of non-audit services provided to the Company – the Committee is satisfied that the level of non-audit services provided by KPMG LLP was in line with the Company’s policy and was appropriate in respect of the audit services provided and that an effective audit could be conducted, with such level in no way compromising independence.",0,0,1,0
10981,"We operate a monitoring framework over our capital resources and minimum capital requirements daily, calculating the credit and market risk requirements arising on the exposures at the end of each business day.",0,0,1,0
10982,The responsibility for the Group's business activities rests with the management.  ,0,0,0,1
10983,"of smallholder farms in India to regenerative farming practices, all certified to the regenagri® standard.",0,0,0,1
10984,"We have developed these ‘free-from’ lists for Food, Non-food and Health and Beauty products.",0,1,0,0
10985,Robust and proportionate governance will not only provide the Board and its stakeholders with reassurance but is also critical to the successful delivery of a strategy that takes account of our wider societal purpose and the interests of all of our stakeholders.,0,0,0,1
10986,Dr. Damadian is also a Manager of [COMPANY] of America.,0,1,1,0
10987,The statement also summarises the extent to which the Group has complied with the Corporate Governance Council’s recommendations.,0,0,1,0
10988,"Additionally, the culture of the Board remains very good, being open and frank, whilst also supportive and collaborative.",0,1,1,0
10989,UPDATING DATA ANALYSIS TO BRING STEM EDUCATION RESOURCES TO UNDERSERVED STUDENTS “Collaborating with We All Code was an incredible opportunity to make a direct impact for local Chicago communities while working to close the gender and diversity gaps in technology.,0,0,0,1
10990,"Subject to certain conditions, including obtaining commitments from existing or prospective lenders, the Company will have the right to increase the amount of the Initial Revolving Commitment (each, a “Revolving Facility Increase” and, together with the Initial Revolving Commitment, the “Revolving Commitment”) and/or the Initial Term Loan in an aggregate amount not to exceed [AMOUNT] pursuant to an incremental loan feature in the A&R Credit Agreement.",0,0,1,0
10991,"Its main goals are to build awareness and understanding of the NN brand among Delta Lloyd stakeholders, to meet synergy objectives and to measure the progress of the Delta Lloyd brand transformation.",0,1,0,0
10992,[COMPANY] has accounted for its remaining from this date.,0,0,0,1
10993,Our operation focuses on continuous improvement and is based on the corporate social responsibility that we recognise and our strategic business goals.,0,0,0,1
10994,• Continuation of cooperation with the NGO Eurasia Foundation of Central Asia (EFCA) in Kazakhstan for a community initiative on education.,0,1,0,0
10995,"This legislation imposes requirements relating to having legal bases for processing personal data relating to identifiable individuals and securing transfers of such data outside the European Economic Area including to the United States, providing information to those individuals regarding the processing of their personal data, keeping personal data secure, having data processing agreements with third parties who process personal data, responding to individuals’ requests to exercise their rights in respect of their personal data, reporting security breaches involving personal data to the competent national data protection authority and affected individuals, conducting record-keeping and,where applicable, appointing data protection officers, conducting data protection impact assessments.",0,1,1,0
10996,"The Safety Steering Committee consists of the Chief Executive Officer, Chief Operations Officer, Chief Legal Officer, Vice President of HR, the Divisional Executive Vice Presidents, and the Global EHS Director.",0,0,0,1
10997,"The members of the Henkel family, as majority shareholders, have constantly inspired both top management and the company as a whole to follow this model of a naturally profi t-oriented entrepreneur who is also aware of the ecological and social dimensions of his actions and careful to fulfi ll his obligations as an employer.",0,1,1,0
10998,The “Leadership” scoring band is reserved for companies that stand out due to various factors like the completeness and transparency of their reporting.,0,0,0,1
10999,"Once again, we have renewed our membership of the Global Compact, sharing the need to incorporate the ten universal principles related to human rights, work, the environment and anti-corruption.",0,0,0,1
11000,"In human rights training to key affiliates and staff, including lead country managers (LCMs).",0,1,1,0
11001,"As the acquirees are all private companies, the fair value estimates of noncontrolling interests are based on significant inputs considered by market participants which mainly include (a) discount rate, (b) projected terminal value based on future cash flow (c) financial multiple of companies in the same industry and (d) adjustment for lack of control and marketability.",0,0,1,0
11002,"3. New Cigna Study Shows Integrated Medical, Pharmacy and Behavioral Benefit Design Delivers Better Health Outcomes and Improves Affordability.",0,1,0,0
11003,make it more difficult to self-insure for our workers' compensation obligations.,0,0,1,0
11004,Construction – Construction output in the euro zone will increase by that were hit particularly hard by the pandemic such as France and Spain reporting high double-digit growth rates.,0,0,1,0
11005,Joint ventures in which we are the operator are included even if our stake is less than is excluded.,0,0,1,0
11006,"Through introducing an appraisal standard that does not focus simply on short-term quantifiable performance, but places importance on how an employee’s work contributes to achieving our management philosophy over the medium-to-long term in the personnel system, we will ensure thorough dissemination and sharing of our MVV broadly among employees.",0,0,1,0
11007,"We also assist teams in responding to reader queries about issues such as plagiarism, breach of privacy or data errors.",0,1,0,0
11008,"Why is this important for MTG? Cathrine: People are increasingly aware of data privacy questions, and GDPR makes the rights of individuals and the responsibilities of companies in this area more prominent.",0,1,0,0
11009,"Where customers fail to meet the requirements whereby compensation may be sought, that amount is paid by Areti as a fine to the Energy and Environmental Services Fund.",0,0,0,1
11010,Owens Corning maintains a confidential business code of conduct helpline and other mechanisms for receiving questions and concerns from our employees.,0,1,1,0
11011,"Both the CR report (available at www.trelleborg.com) and the CR pages in the consolidated Annual Report follow the Code of Conduct’s content structure, and are also adapted to Global Reporting Initiative guidelines.",0,1,1,0
11012,"— Compensation Committee: Responsible for approving and administering executive compensation programs in furtherance of the interests of the stockholders, producing an annual report on executive compensation for inclusion in the company’s annual proxy statement and reviewing the company’s overall programs of employee benefits. — Nominating, Corporate Governance and Social Responsibility Committee: Responsible for reviewing and overseeing the nomination of directors and ESG and human capital factors, including diversity, inclusion and equal opportunities, corporate citizenship and sustainability.",0,0,0,1
11013,"This fourth sustainability report was drawn up using the internationally recognised Global Reporting Initiative (GRI) sustainability reporting guidelines (GRI Guidelines, Version 3.0).",0,0,0,1
11014,We obtained management’s model which is used to determine the variable consideration adjustment.,0,0,1,0
11015,	Stockland Annual Report 	Our business 	Our business 	FY	Celebrating 70 Years 	Chairman and CEO letters 	Letter from the Chairman 	Letter from the Managing Director and CEO 	Our strategy and performance 	Our strategy 	Group performance 	Commercial Property 	Commercial Property 	Logistics 	Workplace 	Case study: M_Park 	Town Centres 	Communities 	Communities 	Masterplanned Communities 	Land Lease Communities 	Retirement Living 	Sustainable growth for the future 	Our ESG approach 	Customer excellence 	Customer excellence 	Customer centricity 	Customer satisfaction 	Digital innovation 	Environment 	Environment 	Advancing climate action 	Climate-related risks and opportunities 	Transition risk 	Enabling circular systems 	Regenerative environment 	Social 	Social 	People and culture 	Social impact 	Risk management 	Our approach to risk management 	Our materiality assessment 	Risks and opportunities 	Governance 	Board of Directors 	The Stockland Leadership Team 	Our approach to corporate governance 	The Board responsibilities 	Corporate Governance Framework 	The Board 	Board committees 	Board committees meetings 	Board effectiveness 	Board composition 	Independence criteria 	Board Skills Matrix 	Board composition 	Tenure 	Diversity of Board skills and experience 	Our approach to tax 	Tax control and governance policy framework 	Voluntary Tax Transparency Code 	Tax disclosures and information 	Tax contribution summary 	General information 	Executive confirmations 	Corporate governance statement 	Lead Auditor’s Independence Statement 	Remuneration report 	Message from the Chair of the People & Culture Committee 	Contents 	Remuneration Report 	1.,0,0,0,1
11016,It is recommended that in the next reporting cycle the Company should give more detailed information on its approaches to corporate responsibility and sustainable development management within the large holding structure including a significant number of facilities with a wide geographical coverage.,0,0,0,1
11017,"Unless the terms of an optionholder’s stock option agreement provide otherwise, if an optionholder’s service relationship with us, or any of our affiliates, ceases for any reason other than disability, death or cause, the optionholder may generally exercise any vested options for a period of three months following the cessation of service.",0,1,0,0
11018,"University and Technical College Partnerships Through the Kennametal Foundation, we have ongoing partnerships with universities, colleges and technical schools globally in support of workforce development efforts that include scholarships, engineering programs and research projects.",0,1,0,0
11019,"Of these engagements within the environmental category, which accounted for of total engagement, 74% of environmental engagements related to climate change.",0,0,0,1
11020,"See www.mt.com/policies for more information, including the full Code of Conduct.",0,1,1,0
11021,[COMPANY] invests heavily in staff and procedures to ensure compliance with best practice and its regulatory bodies.,0,0,0,1
11022,"For this reason privacy presents risks, but also business opportunities for Symantec.",0,1,0,0
11023,"However, we may indirectly engage in lobbying activities through payments to firms or organizations whose activities include lobbying or policy advocacy and through contributions to tax-exempt groups, including trade associations.",0,0,0,1
11024,[COMPANY] may elect to place you on paid leave for all or part of the advance Termination Notice period.,0,1,0,0
11025,Revenue is accounted for when mutual contractual obligations are met.,0,0,1,0
11026,"INTEGRATED MANAGEMENT SYSTEM [COMPANY] bases its organisation on an integrated management system, having successfully implemented its systems under ISO quality, environment, information security, occupational health and compliance standards and the National Safety Scheme, as well as systems required by law, such as billing quality and service quality.",0,0,0,1
11027,"Huhtamaki employees are required to complete the Huhtamaki Code of Conduct training, which is cascaded to all employees as part of the Group’s annual mandatory Ethics and Compliance online training program.",0,1,1,0
11028,Failure to maintain proper legal title of the Group’s Investments could result in assets not being recognisable within the Consolidated Statement of Financial Position.,0,0,1,0
11029,"The cost of compliance with international broker-dealer, employment, labor, benefits, and tax regulations may adversely affect our business and hamper our ability to expand internationally.",0,0,0,1
11030,"In the European Union, the two main pillars of the data protection legal framework are the Directive on Privacy and Electronic Communications (E-Privacy Directive) and the GDPR.",0,1,1,0
11031,"After each event, Humana offered early prescription refills and free and suspended prior authorization requirements, as well as community-wide access to a crisis intervention hotline and counseling services.",0,1,1,0
11032,Our senior professionals focus on delivering enterprise-wide solutions to risk and compliance challenges to promote business transformation and growth and support ethical business behavior.,0,0,0,1
11033,[COMPANY] takes every precaution to strictly follow industrial hygiene and occupational health guidelines.,0,1,0,0
11034,Supporting health awareness Since the mobilization of the Kenyan people on health protection.,0,1,0,0
11035,"Copa Airlines Board of Directors The Board of Directors is responsible for the supervision and control of the plans and actions executed by the executive, administrative and operating personnel of the Company, based on ethics, compliance and transparency guidelines, which allowed the development of policies and strategies to face the challenges posed by an unprecedented situation.",0,0,0,1
11036,Established in System (WBMS) sets a consistent worldwide approach to implementing IBM’s Corporate Policy 127 on health and safety.,0,1,1,0
11037,"We will do so with the same dedication to safety, protection of the environment, quality and integrity that has defined the first quarter-century of our operation.",0,0,0,1
